t_low,t_high,eligible_trajectory_count,final_answer_coverage,final_selective_risk,retrieval_expansion_rate,false_abstention_rate,false_abstention_count,false_abstention_denominator,unsafe_answer_count,safe_answer_count,abstention_count,mean_retrieved_k,mean_retrieved_chunk_count,relative_retrieval_depth_cost_proxy
0,0.02,89,1,0.47191011235955055,0,0,0,53,42,47,0,5,5,1
0,0.040000000000000001,89,1,0.47191011235955055,0,0,0,53,42,47,0,5,5,1
0,0.059999999999999998,89,1,0.47191011235955055,0,0,0,53,42,47,0,5,5,1
0,0.080000000000000002,89,1,0.47191011235955055,0,0,0,53,42,47,0,5,5,1
0,0.10000000000000001,89,1,0.47191011235955055,0,0,0,53,42,47,0,5,5,1
0,0.12,89,1,0.47191011235955055,0,0,0,53,42,47,0,5,5,1
0,0.14000000000000001,89,1,0.47191011235955055,0,0,0,53,42,47,0,5,5,1
0,0.16,89,1,0.47191011235955055,0,0,0,53,42,47,0,5,5,1
0,0.17999999999999999,89,1,0.47191011235955055,0.033707865168539325,0,0,53,42,47,0,5.1685393258426968,5.1685393258426968,1.0337078651685394
0,0.20000000000000001,89,0.9887640449438202,0.46590909090909088,0.0449438202247191,0,0,53,41,47,1,5.2247191011235952,5.2247191011235952,1.044943820224719
0,0.22,89,0.9662921348314607,0.45348837209302323,0.078651685393258425,0,0,53,39,47,3,5.393258426966292,5.393258426966292,1.0786516853932584
0,0.23999999999999999,89,0.9662921348314607,0.45348837209302323,0.11235955056179775,0,0,53,39,47,3,5.5617977528089888,5.5617977528089888,1.1123595505617978
0,0.26000000000000001,89,0.9438202247191011,0.44047619047619047,0.1348314606741573,0,0,53,37,47,5,5.6741573033707864,5.6741573033707864,1.1348314606741572
0,0.28000000000000003,89,0.9438202247191011,0.44047619047619047,0.14606741573033707,0,0,53,37,47,5,5.7303370786516856,5.7303370786516856,1.1460674157303372
0,0.29999999999999999,89,0.93258426966292129,0.43373493975903615,0.1797752808988764,0,0,53,36,47,6,5.8988764044943824,5.8988764044943824,1.1797752808988764
0,0.32000000000000001,89,0.93258426966292129,0.43373493975903615,0.2247191011235955,0,0,53,36,47,6,6.1235955056179776,6.1235955056179776,1.2247191011235956
0,0.34000000000000002,89,0.9213483146067416,0.42682926829268292,0.2808988764044944,0,0,53,35,47,7,6.404494382022472,6.404494382022472,1.2808988764044944
0,0.35999999999999999,89,0.9101123595505618,0.40740740740740738,0.33707865168539325,0,0,53,33,48,8,6.6853932584269664,6.6853932584269664,1.3370786516853932
0,0.38,89,0.88764044943820219,0.4050632911392405,0.4157303370786517,0.018867924528301886,1,53,32,47,10,7.0786516853932584,7.0786516853932584,1.4157303370786516
0,0.40000000000000002,89,0.8539325842696629,0.39473684210526316,0.4943820224719101,0.037735849056603772,2,53,30,46,13,7.4719101123595504,7.4719101123595504,1.49438202247191
0,0.41999999999999998,89,0.7640449438202247,0.41176470588235292,0.5056179775280899,0.15094339622641509,8,53,28,40,21,7.5280898876404496,7.5280898876404496,1.50561797752809
0,0.44,89,0.6966292134831461,0.38709677419354838,0.5168539325842697,0.18867924528301888,10,53,24,38,27,7.584269662921348,7.584269662921348,1.5168539325842696
0,0.46000000000000002,89,0.6179775280898876,0.40000000000000002,0.550561797752809,0.30188679245283018,16,53,22,33,34,7.7528089887640448,7.7528089887640448,1.550561797752809
0,0.47999999999999998,89,0.5730337078651685,0.39215686274509803,0.5955056179775281,0.35849056603773582,19,53,20,31,38,7.9775280898876408,7.9775280898876408,1.5955056179775282
0,0.5,89,0.550561797752809,0.40816326530612246,0.6179775280898876,0.39622641509433965,21,53,20,29,40,8.0898876404494384,8.0898876404494384,1.6179775280898876
0,0.52000000000000002,89,0.5168539325842697,0.32608695652173914,0.6404494382022472,0.39622641509433965,21,53,15,31,43,8.2022471910112351,8.2022471910112351,1.640449438202247
0,0.54000000000000004,89,0.5056179775280899,0.31111111111111112,0.6853932584269663,0.39622641509433965,21,53,14,31,44,8.4269662921348321,8.4269662921348321,1.6853932584269664
0,0.56000000000000005,89,0.43820224719101125,0.25641025641025639,0.7528089887640449,0.45283018867924529,24,53,10,29,50,8.7640449438202239,8.7640449438202239,1.7528089887640448
0,0.57999999999999996,89,0.4157303370786517,0.24324324324324326,0.7752808988764045,0.47169811320754718,25,53,9,28,52,8.8764044943820224,8.8764044943820224,1.7752808988764044
0,0.59999999999999998,89,0.39325842696629215,0.25714285714285712,0.7865168539325843,0.50943396226415094,27,53,9,26,54,8.9325842696629216,8.9325842696629216,1.7865168539325844
0,0.62,89,0.33707865168539325,0.29999999999999999,0.797752808988764,0.60377358490566035,32,53,9,21,59,8.9887640449438209,8.9887640449438209,1.7977528089887642
0,0.64000000000000001,89,0.29213483146067415,0.26923076923076922,0.8202247191011236,0.64150943396226412,34,53,7,19,63,9.1011235955056176,9.1011235955056176,1.8202247191011236
0,0.66000000000000003,89,0.23595505617977527,0.2857142857142857,0.84269662921348309,0.71698113207547165,38,53,6,15,68,9.213483146067416,9.213483146067416,1.8426966292134832
0,0.68000000000000005,89,0.21348314606741572,0.26315789473684209,0.8651685393258427,0.73584905660377353,39,53,5,14,70,9.3258426966292127,9.3258426966292127,1.8651685393258426
0,0.69999999999999996,89,0.21348314606741572,0.26315789473684209,0.8764044943820225,0.73584905660377353,39,53,5,14,70,9.382022471910112,9.382022471910112,1.8764044943820224
0,0.71999999999999997,89,0.19101123595505617,0.23529411764705882,0.898876404494382,0.75471698113207553,40,53,4,13,72,9.4943820224719104,9.4943820224719104,1.898876404494382
0,0.73999999999999999,89,0.1797752808988764,0.25,0.9101123595505618,0.77358490566037741,41,53,4,12,73,9.5505617977528097,9.5505617977528097,1.910112359550562
0,0.76000000000000001,89,0.14606741573033707,0.23076923076923078,0.9101123595505618,0.81132075471698117,43,53,3,10,76,9.5505617977528097,9.5505617977528097,1.910112359550562
0,0.78000000000000003,89,0.12359550561797752,0.18181818181818182,0.9662921348314607,0.83018867924528306,44,53,2,9,78,9.8314606741573041,9.8314606741573041,1.9662921348314608
0,0.80000000000000004,89,0.02247191011235955,0,1,0.96226415094339623,51,53,0,2,87,10,10,2
0,0.81999999999999995,89,0.02247191011235955,0,1,0.96226415094339623,51,53,0,2,87,10,10,2
0,0.83999999999999997,89,0,,1,1,53,53,0,0,89,10,10,2
0,0.85999999999999999,89,0,,1,1,53,53,0,0,89,10,10,2
0,0.88,89,0,,1,1,53,53,0,0,89,10,10,2
0,0.90000000000000002,89,0,,1,1,53,53,0,0,89,10,10,2
0,0.92000000000000004,89,0,,1,1,53,53,0,0,89,10,10,2
0,0.93999999999999995,89,0,,1,1,53,53,0,0,89,10,10,2
0,0.95999999999999996,89,0,,1,1,53,53,0,0,89,10,10,2
0,0.97999999999999998,89,0,,1,1,53,53,0,0,89,10,10,2
0,1,89,0,,1,1,53,53,0,0,89,10,10,2
0.02,0.040000000000000001,89,1,0.47191011235955055,0,0,0,53,42,47,0,5,5,1
0.02,0.059999999999999998,89,1,0.47191011235955055,0,0,0,53,42,47,0,5,5,1
0.02,0.080000000000000002,89,1,0.47191011235955055,0,0,0,53,42,47,0,5,5,1
0.02,0.10000000000000001,89,1,0.47191011235955055,0,0,0,53,42,47,0,5,5,1
0.02,0.12,89,1,0.47191011235955055,0,0,0,53,42,47,0,5,5,1
0.02,0.14000000000000001,89,1,0.47191011235955055,0,0,0,53,42,47,0,5,5,1
0.02,0.16,89,1,0.47191011235955055,0,0,0,53,42,47,0,5,5,1
0.02,0.17999999999999999,89,1,0.47191011235955055,0.033707865168539325,0,0,53,42,47,0,5.1685393258426968,5.1685393258426968,1.0337078651685394
0.02,0.20000000000000001,89,0.9887640449438202,0.46590909090909088,0.0449438202247191,0,0,53,41,47,1,5.2247191011235952,5.2247191011235952,1.044943820224719
0.02,0.22,89,0.9662921348314607,0.45348837209302323,0.078651685393258425,0,0,53,39,47,3,5.393258426966292,5.393258426966292,1.0786516853932584
0.02,0.23999999999999999,89,0.9662921348314607,0.45348837209302323,0.11235955056179775,0,0,53,39,47,3,5.5617977528089888,5.5617977528089888,1.1123595505617978
0.02,0.26000000000000001,89,0.9438202247191011,0.44047619047619047,0.1348314606741573,0,0,53,37,47,5,5.6741573033707864,5.6741573033707864,1.1348314606741572
0.02,0.28000000000000003,89,0.9438202247191011,0.44047619047619047,0.14606741573033707,0,0,53,37,47,5,5.7303370786516856,5.7303370786516856,1.1460674157303372
0.02,0.29999999999999999,89,0.93258426966292129,0.43373493975903615,0.1797752808988764,0,0,53,36,47,6,5.8988764044943824,5.8988764044943824,1.1797752808988764
0.02,0.32000000000000001,89,0.93258426966292129,0.43373493975903615,0.2247191011235955,0,0,53,36,47,6,6.1235955056179776,6.1235955056179776,1.2247191011235956
0.02,0.34000000000000002,89,0.9213483146067416,0.42682926829268292,0.2808988764044944,0,0,53,35,47,7,6.404494382022472,6.404494382022472,1.2808988764044944
0.02,0.35999999999999999,89,0.9101123595505618,0.40740740740740738,0.33707865168539325,0,0,53,33,48,8,6.6853932584269664,6.6853932584269664,1.3370786516853932
0.02,0.38,89,0.88764044943820219,0.4050632911392405,0.4157303370786517,0.018867924528301886,1,53,32,47,10,7.0786516853932584,7.0786516853932584,1.4157303370786516
0.02,0.40000000000000002,89,0.8539325842696629,0.39473684210526316,0.4943820224719101,0.037735849056603772,2,53,30,46,13,7.4719101123595504,7.4719101123595504,1.49438202247191
0.02,0.41999999999999998,89,0.7640449438202247,0.41176470588235292,0.5056179775280899,0.15094339622641509,8,53,28,40,21,7.5280898876404496,7.5280898876404496,1.50561797752809
0.02,0.44,89,0.6966292134831461,0.38709677419354838,0.5168539325842697,0.18867924528301888,10,53,24,38,27,7.584269662921348,7.584269662921348,1.5168539325842696
0.02,0.46000000000000002,89,0.6179775280898876,0.40000000000000002,0.550561797752809,0.30188679245283018,16,53,22,33,34,7.7528089887640448,7.7528089887640448,1.550561797752809
0.02,0.47999999999999998,89,0.5730337078651685,0.39215686274509803,0.5955056179775281,0.35849056603773582,19,53,20,31,38,7.9775280898876408,7.9775280898876408,1.5955056179775282
0.02,0.5,89,0.550561797752809,0.40816326530612246,0.6179775280898876,0.39622641509433965,21,53,20,29,40,8.0898876404494384,8.0898876404494384,1.6179775280898876
