schema_version,dataset_revision,corpus_archive_sha256,doc_id,archive_path,filename,raw_sha256,normalized_sha256,raw_bytes,normalized_chars,encoding,cleaning_version,removed_payload_count,status
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,c06aa287dcc1abf8db6b49b8495df095db73342d729f6451ac330785245d10be,techqa-doc:corpus/ibm10713449.txt,corpus/ibm10713449.txt,ibm10713449.txt,56cf8b7ad98a4e39b15dcc334a0a9e27986eb9d0a5604db05eff9cd85401adb1,8147a352e65a858d77f173809be7898501c272470c70b57fe605454fba39e6d6,5932,5907,utf-8,strict-utf8-nfkc-whitespace-data-uri-v1,0,ok
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,c06aa287dcc1abf8db6b49b8495df095db73342d729f6451ac330785245d10be,techqa-doc:corpus/ibm10713463.txt,corpus/ibm10713463.txt,ibm10713463.txt,3ee89090386d2b90a53d547314a458582b6338d04ad72cf6c9a0b15e873ba3f2,7eb1a03fb0cc7d1281a969fa595eaab04f59c6d1d92b9982e51ad5dd4bb86d3f,2116,2097,utf-8,strict-utf8-nfkc-whitespace-data-uri-v1,0,ok
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,c06aa287dcc1abf8db6b49b8495df095db73342d729f6451ac330785245d10be,techqa-doc:corpus/ibm10713539.txt,corpus/ibm10713539.txt,ibm10713539.txt,ca988124d6184984c3cb2c6ba4653809afd87748fa7db160a0b04978b091b94b,3911f5f6f246a097841cd6798b4262cbc8f266003d23ce319d9f94718348ed43,8339,8287,utf-8,strict-utf8-nfkc-whitespace-data-uri-v1,0,ok
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,c06aa287dcc1abf8db6b49b8495df095db73342d729f6451ac330785245d10be,techqa-doc:corpus/ibm10713695.txt,corpus/ibm10713695.txt,ibm10713695.txt,a33f1ca0cf6fa44c389b48ce8890bf7b26706174a0d1179d676904799e58f72d,739b383485dad4a9149f901ee7c0f0def1ec091dc436df90503883179d8099e0,4564,4472,utf-8,strict-utf8-nfkc-whitespace-data-uri-v1,0,ok
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,c06aa287dcc1abf8db6b49b8495df095db73342d729f6451ac330785245d10be,techqa-doc:corpus/ibm10715649.txt,corpus/ibm10715649.txt,ibm10715649.txt,3eb21c4c194e02cda46a80a3c04e99e14e01e5231fee15f41820902f251f9a5e,c70ca2cff88bd0b55e50121bd14767ad4fed4b35c0f5e66b60842f27c7738cb3,3305,3289,utf-8,strict-utf8-nfkc-whitespace-data-uri-v1,0,ok
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,c06aa287dcc1abf8db6b49b8495df095db73342d729f6451ac330785245d10be,techqa-doc:corpus/ibm10715651.txt,corpus/ibm10715651.txt,ibm10715651.txt,67dc43d83feaf3467520aa4bb8f9c0c5e5d39a846050dcfda5be5b70d5b6472a,4061c7dbd766dc6b3718168e95c08ab1def24db48a717270a1e69b18dd4e3956,1543,1468,utf-8,strict-utf8-nfkc-whitespace-data-uri-v1,0,ok
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,c06aa287dcc1abf8db6b49b8495df095db73342d729f6451ac330785245d10be,techqa-doc:corpus/ibm10715781.txt,corpus/ibm10715781.txt,ibm10715781.txt,59fc68562ed366852b73b964e35195ef49f4f5c9f92f035f1fff61c176ad21f6,ff7e73c46edaa0cb8e0e52db52fbb18c597d88869ee1dd725330b47498f3bb0d,9158,9130,utf-8,strict-utf8-nfkc-whitespace-data-uri-v1,0,ok
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,c06aa287dcc1abf8db6b49b8495df095db73342d729f6451ac330785245d10be,techqa-doc:corpus/ibm10715845.txt,corpus/ibm10715845.txt,ibm10715845.txt,dc6bacdc491a7219ef6ecf6b537c89f86af6a4f96e20653fdc4c64531827e275,d3a0fef56c27fb526140c3ddda005dc13bb61ce455988c0a36254152729fd63e,3694,3389,utf-8,strict-utf8-nfkc-whitespace-data-uri-v1,0,ok
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,c06aa287dcc1abf8db6b49b8495df095db73342d729f6451ac330785245d10be,techqa-doc:corpus/ibm10716029.txt,corpus/ibm10716029.txt,ibm10716029.txt,fce48cb71e3714f4a4ecd40b3acdd4a05b0a25ec928597adcd2a7997930361de,8b2549c7dfbe2d35a8e882ae18c96bb2c13d620eceb95c94d70f028bb026a474,6633,6600,utf-8,strict-utf8-nfkc-whitespace-data-uri-v1,0,ok
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,c06aa287dcc1abf8db6b49b8495df095db73342d729f6451ac330785245d10be,techqa-doc:corpus/ibm10716213.txt,corpus/ibm10716213.txt,ibm10716213.txt,dbc16cf8a5b0e05f335ff4e0945759b78b1de6e574e138be1954d1e582e19c27,5ab265830557f2db9f3c302bf28b5094ed33b381b6a22e33ab2c8ef3e7a8d7e6,3906,3885,utf-8,strict-utf8-nfkc-whitespace-data-uri-v1,0,ok
