question_id,difference_unsupported_claim_rate_k10_minus_k5
DEV_Q008,0.0
DEV_Q030,0.5
DEV_Q033,0.0
DEV_Q038,-0.15000000000000002
DEV_Q040,0.0
DEV_Q053,0.0
DEV_Q063,0.0
DEV_Q114,0.0
DEV_Q134,0.16666666666666663
DEV_Q149,-0.5
DEV_Q154,-0.16666666666666669
DEV_Q155,0.0
DEV_Q160,0.43790849673202614
DEV_Q164,-0.25
DEV_Q175,0.0
DEV_Q176,-0.25
DEV_Q202,0.0
DEV_Q210,0.0
DEV_Q215,-0.25
DEV_Q253,0.0
DEV_Q260,-0.16666666666666663
DEV_Q288,0.0
DEV_Q290,0.0
DEV_Q302,0.0
DEV_Q303,0.0
TRAIN_Q012,0.0
TRAIN_Q014,-0.08333333333333331
TRAIN_Q027,-0.25
TRAIN_Q029,0.0
TRAIN_Q047,0.0
TRAIN_Q049,0.0
TRAIN_Q056,0.0
TRAIN_Q058,0.0
TRAIN_Q063,0.0
TRAIN_Q065,0.0
TRAIN_Q067,-0.15000000000000002
TRAIN_Q082,-0.5
TRAIN_Q083,0.25
TRAIN_Q087,0.0
TRAIN_Q097,-1.0
TRAIN_Q107,0.43790849673202614
TRAIN_Q108,-0.3333333333333333
TRAIN_Q120,-0.55
TRAIN_Q124,0.25
TRAIN_Q126,0.0
TRAIN_Q134,-0.3333333333333333
TRAIN_Q162,-0.5
TRAIN_Q184,0.6666666666666667
TRAIN_Q187,-0.6666666666666666
TRAIN_Q189,0.0
TRAIN_Q199,-0.3333333333333333
TRAIN_Q203,-0.5
TRAIN_Q207,1.0
TRAIN_Q224,0.0
TRAIN_Q234,0.0
TRAIN_Q237,-0.33333333333333337
TRAIN_Q258,0.6666666666666667
TRAIN_Q272,-0.16666666666666663
TRAIN_Q299,0.5
TRAIN_Q324,0.0
TRAIN_Q338,0.3888888888888889
TRAIN_Q347,-1.0
TRAIN_Q351,0.0
TRAIN_Q358,0.5
TRAIN_Q361,0.5
TRAIN_Q388,0.0
TRAIN_Q390,-0.08333333333333331
TRAIN_Q398,0.0
TRAIN_Q411,1.0
TRAIN_Q413,0.3333333333333333
TRAIN_Q414,0.0
TRAIN_Q425,-0.3
TRAIN_Q427,0.0
TRAIN_Q450,-0.6
TRAIN_Q461,0.0
TRAIN_Q478,0.0
TRAIN_Q488,0.0
TRAIN_Q490,-0.3333333333333333
TRAIN_Q492,-0.3333333333333333
TRAIN_Q499,0.5
TRAIN_Q507,0.0
TRAIN_Q533,0.0
TRAIN_Q549,0.5
TRAIN_Q556,0.3333333333333333
TRAIN_Q576,0.0
TRAIN_Q583,0.0
TRAIN_Q584,-1.0
TRAIN_Q588,0.0
TRAIN_Q592,0.0
